signal_timestamp,order_timestamp,fill_timestamp,signal_date,execution_date,year,month,expiry_date,exit_date,exit_reason,dte_sessions,vix,signal_spot,exec_spot,type,long_strike,short_strike,wing_width,strike_offset,long_raw_price,short_raw_price,long_fill_price,short_fill_price,debit_pts,lot_size,capital_required_inr,settlement_price,exit_spread_val,gross_payoff_inr,statutory_costs_inr,net_pnl_inr,is_win,cum_net_pnl,candidate_id,candidate_name,in_primary_5y,strategy_source
2019-03-28 15:30:00,2019-03-29 09:15:00,2019-03-29 09:15:00,2019-03-28,2019-03-29,2019,2019-03,2019-04-04,2019-04-04,EXPIRY_SETTLEMENT,4,17.05,11570.0,11625.45,BULL_CALL,11700.0,11850.0,150.0,50.0,69.4,25.0,69.5,24.9,44.6,75,3345.0,11598.0,0.0,-3345.0,52.71,-3397.71,0,-3397.71,Candidate HF-1,HF Directional Breakout Debit Spread (ATR >= 0.25),0,
2019-04-16 15:30:00,2019-04-18 09:15:00,2019-04-18 09:15:00,2019-04-16,2019-04-18,2019,2019-04,2019-04-25,2019-04-25,EXPIRY_SETTLEMENT,4,21.39,11787.15,11856.15,BULL_CALL,11900.0,12050.0,150.0,50.0,49.45,9.3,49.55,9.2,40.35,75,3026.25,11641.8,0.0,-3026.25,50.35,-3076.6,0,-6474.3099999999995,Candidate HF-1,HF Directional Breakout Debit Spread (ATR >= 0.25),0,
2019-06-03 15:30:00,2019-06-04 09:15:00,2019-06-04 09:15:00,2019-06-03,2019-06-04,2019,2019-06,2019-06-06,2019-06-06,EXPIRY_SETTLEMENT,1,16.07,12088.55,12052.65,BULL_CALL,12100.0,12250.0,150.0,50.0,39.75,5.05,39.85,4.95,34.9,75,2617.5,11843.75,0.0,-2617.5,49.51,-2667.01,0,-9141.32,Candidate HF-1,HF Directional Breakout Debit Spread (ATR >= 0.25),0,
2019-07-08 15:30:00,2019-07-09 09:15:00,2019-07-09 09:15:00,2019-07-08,2019-07-09,2019,2019-07,2019-07-11,2019-07-11,EXPIRY_SETTLEMENT,2,13.07,11558.6,11531.6,BEAR_PUT,11500.0,11350.0,150.0,50.0,47.0,11.9,47.1,11.8,35.3,75,2647.5,11582.9,0.0,-2647.5,50.47,-2697.97,0,-11839.289999999999,Candidate HF-1,HF Directional Breakout Debit Spread (ATR >= 0.25),0,
2019-07-19 15:30:00,2019-07-22 09:15:00,2019-07-22 09:15:00,2019-07-19,2019-07-22,2019,2019-07,2019-07-25,2019-07-25,EXPIRY_SETTLEMENT,3,11.75,11419.25,11392.85,BEAR_PUT,11350.0,11200.0,150.0,50.0,48.15,14.9,48.25,14.8,33.45,75,2508.75,11252.15,97.85,4830.0,64.31,4765.69,1,-7073.599999999999,Candidate HF-1,HF Directional Breakout Debit Spread (ATR >= 0.25),0,
2019-07-29 15:30:00,2019-07-30 09:15:00,2019-07-30 09:15:00,2019-07-29,2019-07-30,2019,2019-07,2019-08-01,2019-08-01,EXPIRY_SETTLEMENT,2,12.13,11189.2,11213.7,BEAR_PUT,11150.0,11000.0,150.0,50.0,28.95,7.8,29.05,7.7,21.35,75,1601.25,10980.0,150.0,9648.75,73.62,9575.13,1,2501.5299999999997,Candidate HF-1,HF Directional Breakout Debit Spread (ATR >= 0.25),0,
2019-08-01 15:30:00,2019-08-02 09:15:00,2019-08-02 09:15:00,2019-08-01,2019-08-02,2019,2019-08,2019-08-08,2019-08-08,EXPIRY_SETTLEMENT,4,13.59,10980.0,10930.3,BEAR_PUT,10900.0,10750.0,150.0,50.0,87.75,38.85,87.85,38.75,49.1,75,3682.5,11032.45,0.0,-3682.5,54.83,-3737.33,0,-1235.8000000000002,Candidate HF-1,HF Directional Breakout Debit Spread (ATR >= 0.25),0,
2019-08-05 15:30:00,2019-08-06 09:15:00,2019-08-06 09:15:00,2019-08-05,2019-08-06,2019,2019-08,2019-08-08,2019-08-08,EXPIRY_SETTLEMENT,2,15.19,10862.6,10815.4,BEAR_PUT,10750.0,10600.0,150.0,50.0,73.0,29.95,73.1,29.85,43.25,75,3243.75,11032.45,0.0,-3243.75,53.33,-3297.08,0,-4532.88,Candidate HF-1,HF Directional Breakout Debit Spread (ATR >= 0.25),0,
2019-08-22 15:30:00,2019-08-23 09:15:00,2019-08-23 09:15:00,2019-08-22,2019-08-23,2019,2019-08,2019-08-29,2019-08-29,EXPIRY_SETTLEMENT,4,17.02,10741.35,10699.6,BEAR_PUT,10650.0,10500.0,150.0,50.0,74.05,35.0,74.15,34.9,39.25,75,2943.75,10948.3,0.0,-2943.75,53.84,-2997.59,0,-7530.47,Candidate HF-1,HF Directional Breakout Debit Spread (ATR >= 0.25),0,
2019-09-19 15:30:00,2019-09-20 09:15:00,2019-09-20 09:15:00,2019-09-19,2019-09-20,2019,2019-09,2019-09-26,2019-09-26,EXPIRY_SETTLEMENT,4,15.35,10704.8,10746.8,BEAR_PUT,10700.0,10550.0,150.0,50.0,71.95,29.4,72.05,29.3,42.75,75,3206.25,11571.2,0.0,-3206.25,53.23,-3259.48,0,-10789.95,Candidate HF-1,HF Directional Breakout Debit Spread (ATR >= 0.25),0,
