trade_id,candidate,sess,expiry,spot,settle,vix,rsi,em,lot,structure,spread_type,short_strike,wing_strike,short_fill,wing_fill,credit_pts,wing_width,max_risk,gross,brokerage,stt,exchange_fees,gst,stamp_duty,sebi,slippage,total_costs,net
13,C1_TREND_AUTO_1.8SD_W200,2022-02-10,2022-02-17,17605.85,17304.6,18.56,48.523684264741135,382.45,50,spread,BULL_PUT,16900.0,16700.0,11.17,7.02,4.15,200.0,9792.5,207.5,40.0,0.35,0.45,7.28,0.01,0.0,10.0,58.1,149.4
14,C1_TREND_AUTO_1.8SD_W200,2022-04-21,2022-04-28,17392.6,17245.05,18.67,45.76939913497943,380.06,50,spread,BULL_PUT,16700.0,16500.0,16.7,10.08,6.62,200.0,9669.0,331.0,40.0,0.52,0.67,7.32,0.02,0.0,10.0,58.53,272.47
15,C1_TREND_AUTO_1.8SD_W200,2022-06-09,2022-06-16,16478.1,15360.6,19.84,46.559919150548076,382.64,50,spread,BEAR_CALL,17150.0,17350.0,4.89,2.46,2.43,200.0,9878.5,121.5,40.0,0.15,0.18,7.23,0.0,0.0,10.0,57.57,63.93
16,C1_TREND_AUTO_1.8SD_W200,2022-07-14,2022-07-21,15938.65,16605.25,18.52,49.64541733437957,345.49,50,spread,BEAR_CALL,16550.0,16750.0,4.93,2.11,2.82,200.0,9859.0,-2621.5,40.0,0.15,1.56,7.48,0.0,0.0,10.0,59.2,-2680.7
17,C1_TREND_AUTO_1.8SD_W200,2022-07-21,2022-07-28,16605.25,16929.6,16.82,65.11918788306508,326.9,50,spread,BULL_PUT,16000.0,15800.0,15.4,8.17,7.23,200.0,9638.5,361.5,40.0,0.48,0.59,7.31,0.01,0.0,10.0,58.39,303.11
18,C1_TREND_AUTO_1.8SD_W200,2022-07-28,2022-08-04,16929.6,17382.0,18.13,63.322141877516124,359.24,50,spread,BULL_PUT,16300.0,16100.0,13.71,7.72,5.99,200.0,9700.5,299.5,40.0,0.43,0.54,7.3,0.01,0.0,10.0,58.27,241.23
19,C1_TREND_AUTO_1.8SD_W200,2022-09-01,2022-09-08,17542.8,17798.75,18.7,62.70313750089406,383.95,50,spread,BULL_PUT,16850.0,16650.0,20.99,10.98,10.01,200.0,9499.5,500.5,40.0,0.66,0.8,7.34,0.02,0.0,10.0,58.82,441.68
20,C1_TREND_AUTO_1.8SD_W200,2022-09-08,2022-09-15,17798.75,17877.4,19.37,57.29655398981566,403.51,50,spread,BULL_PUT,17050.0,16850.0,9.72,5.82,3.9,200.0,9805.0,195.0,40.0,0.3,0.39,7.27,0.01,0.0,10.0,57.97,137.03
21,C1_TREND_AUTO_1.8SD_W200,2022-09-15,2022-09-22,17877.4,17629.8,18.28,65.02946644637666,382.49,50,spread,BULL_PUT,17200.0,17000.0,15.15,8.27,6.88,200.0,9656.0,344.0,40.0,0.47,0.59,7.31,0.01,0.0,10.0,58.38,285.62
22,C1_TREND_AUTO_1.8SD_W200,2022-09-22,2022-09-29,17629.8,16818.1,19.33,53.11089167591726,398.86,50,spread,BULL_PUT,16900.0,16700.0,14.31,7.57,6.74,200.0,9663.0,-3758.0,40.0,0.45,2.59,7.67,0.01,0.01,10.0,60.73,-3818.73
23,C1_TREND_AUTO_1.8SD_W200,2022-10-06,2022-10-13,17331.8,17014.35,19.57,48.12131143971018,396.98,50,spread,BEAR_CALL,18050.0,18250.0,3.14,2.01,1.13,200.0,9943.5,56.5,40.0,0.1,0.13,7.22,0.0,0.0,10.0,57.45,-0.95
24,C1_TREND_AUTO_1.8SD_W200,2022-10-27,2022-11-03,17736.95,18052.7,16.88,58.199838749706174,350.42,50,spread,BULL_PUT,17100.0,16900.0,10.77,5.06,5.71,200.0,9714.5,285.5,40.0,0.34,0.4,7.27,0.01,0.0,10.0,58.01,227.49
25,C1_TREND_AUTO_1.8SD_W200,2022-11-10,2022-11-17,18028.2,18343.9,15.92,66.37368860070464,335.92,50,spread,BULL_PUT,17400.0,17200.0,7.53,4.56,2.97,200.0,9851.5,148.5,40.0,0.24,0.3,7.25,0.01,0.0,10.0,57.8,90.7
26,C1_TREND_AUTO_1.8SD_W200,2022-11-17,2022-11-24,18343.9,18484.1,15.1,68.89697803236487,324.2,50,spread,BULL_PUT,17750.0,17550.0,8.77,5.06,3.71,200.0,9814.5,185.5,40.0,0.27,0.35,7.26,0.01,0.0,10.0,57.89,127.61
27,C1_TREND_AUTO_1.8SD_W200,2022-11-24,2022-12-01,18484.1,18812.5,14.04,60.47964218932977,303.74,50,spread,BULL_PUT,17950.0,17750.0,8.82,5.47,3.35,200.0,9832.5,167.5,40.0,0.28,0.36,7.26,0.01,0.0,10.0,57.91,109.59
28,C1_TREND_AUTO_1.8SD_W200,2022-12-08,2022-12-15,18609.35,18414.9,14.08,59.89284972284364,306.67,50,spread,BULL_PUT,18050.0,17850.0,5.68,3.66,2.02,200.0,9899.0,101.0,40.0,0.18,0.23,7.24,0.01,0.0,10.0,57.66,43.34
29,C1_TREND_AUTO_1.8SD_W200,2022-12-15,2022-12-22,18414.9,18127.35,12.89,61.97743306004197,277.82,50,spread,BULL_PUT,17900.0,17700.0,11.27,5.87,5.4,200.0,9730.0,270.0,40.0,0.35,0.43,7.28,0.01,0.0,10.0,58.07,211.93
30,C1_TREND_AUTO_1.8SD_W200,2022-12-22,2022-12-29,18127.35,18191.0,15.56,42.70720680440695,330.13,50,spread,BEAR_CALL,18700.0,18900.0,7.78,5.17,2.61,200.0,9869.5,130.5,40.0,0.24,0.32,7.26,0.01,0.0,10.0,57.83,72.67
31,C1_TREND_AUTO_1.8SD_W200,2022-12-29,2023-01-05,18191.0,17992.15,15.4,44.52254095356945,327.88,50,spread,BEAR_CALL,18800.0,19000.0,3.14,2.01,1.13,200.0,9943.5,56.5,40.0,0.1,0.13,7.22,0.0,0.0,10.0,57.45,-0.95
32,C1_TREND_AUTO_1.8SD_W200,2023-01-05,2023-01-12,17992.15,17858.2,15.2,42.89942226380056,320.08,50,spread,BEAR_CALL,18550.0,18750.0,5.38,2.91,2.47,200.0,9876.5,123.5,40.0,0.17,0.21,7.24,0.0,0.0,10.0,57.62,65.88
33,C1_TREND_AUTO_1.8SD_W200,2023-01-12,2023-01-19,17858.2,18107.85,15.44,41.31432250047083,322.72,50,spread,BEAR_CALL,18450.0,18650.0,7.53,3.76,3.77,200.0,9811.5,188.5,40.0,0.24,0.28,7.25,0.01,0.0,10.0,57.77,130.73
