start_capital,risk_pct,ending_capital,cagr_pct,max_dd_inr,max_dd_pct,max_losing_streak,skipped_trades,candidate_id,candidate_name,period
200000.0,0.05,1225093.52,43.69,254923.05,20.81,7,0,Candidate B,"10D Breakout Convex OTM Debit Spread (W250, Off50)",5Y_PRIMARY
200000.0,0.08,2619611.27,67.28,772692.48,29.5,7,0,Candidate B,"10D Breakout Convex OTM Debit Spread (W250, Off50)",5Y_PRIMARY
200000.0,0.1,3917905.95,81.3,1263024.59,32.24,7,0,Candidate B,"10D Breakout Convex OTM Debit Spread (W250, Off50)",5Y_PRIMARY
50000.0,0.01,194135.56,19.43,49987.04,25.75,9,0,Candidate B,"10D Breakout Convex OTM Debit Spread (W250, Off50)",7.6Y_SECONDARY
50000.0,0.02,194135.56,19.43,49987.04,25.75,9,0,Candidate B,"10D Breakout Convex OTM Debit Spread (W250, Off50)",7.6Y_SECONDARY
50000.0,0.03,213025.29,20.89,49987.04,23.47,9,0,Candidate B,"10D Breakout Convex OTM Debit Spread (W250, Off50)",7.6Y_SECONDARY
50000.0,0.05,313707.74,27.17,50133.25,15.98,9,0,Candidate B,"10D Breakout Convex OTM Debit Spread (W250, Off50)",7.6Y_SECONDARY
50000.0,0.08,528392.25,36.15,138959.37,26.3,9,0,Candidate B,"10D Breakout Convex OTM Debit Spread (W250, Off50)",7.6Y_SECONDARY
50000.0,0.1,865241.19,45.23,258001.43,29.82,9,0,Candidate B,"10D Breakout Convex OTM Debit Spread (W250, Off50)",7.6Y_SECONDARY
75000.0,0.01,219135.56,15.07,49987.04,22.81,9,0,Candidate B,"10D Breakout Convex OTM Debit Spread (W250, Off50)",7.6Y_SECONDARY
75000.0,0.02,226560.05,15.57,49987.04,22.06,9,0,Candidate B,"10D Breakout Convex OTM Debit Spread (W250, Off50)",7.6Y_SECONDARY
75000.0,0.03,235021.92,16.13,51187.4,21.78,9,0,Candidate B,"10D Breakout Convex OTM Debit Spread (W250, Off50)",7.6Y_SECONDARY
75000.0,0.05,317364.92,20.78,54437.15,17.15,9,0,Candidate B,"10D Breakout Convex OTM Debit Spread (W250, Off50)",7.6Y_SECONDARY
75000.0,0.08,850947.09,37.43,228996.08,26.91,9,0,Candidate B,"10D Breakout Convex OTM Debit Spread (W250, Off50)",7.6Y_SECONDARY
75000.0,0.1,1523078.88,48.31,483273.81,31.73,9,0,Candidate B,"10D Breakout Convex OTM Debit Spread (W250, Off50)",7.6Y_SECONDARY
100000.0,0.01,244135.56,12.39,49987.04,20.48,9,0,Candidate B,"10D Breakout Convex OTM Debit Spread (W250, Off50)",7.6Y_SECONDARY
100000.0,0.02,253879.77,12.97,49987.04,19.69,9,0,Candidate B,"10D Breakout Convex OTM Debit Spread (W250, Off50)",7.6Y_SECONDARY
100000.0,0.03,315570.99,16.23,49987.04,15.84,9,0,Candidate B,"10D Breakout Convex OTM Debit Spread (W250, Off50)",7.6Y_SECONDARY
100000.0,0.05,432135.05,21.11,84090.42,19.46,9,0,Candidate B,"10D Breakout Convex OTM Debit Spread (W250, Off50)",7.6Y_SECONDARY
100000.0,0.08,1468073.91,42.14,425357.25,28.97,9,0,Candidate B,"10D Breakout Convex OTM Debit Spread (W250, Off50)",7.6Y_SECONDARY
100000.0,0.1,1526471.16,42.87,487577.71,31.94,9,0,Candidate B,"10D Breakout Convex OTM Debit Spread (W250, Off50)",7.6Y_SECONDARY
150000.0,0.01,294135.56,9.21,49987.04,16.99,9,0,Candidate B,"10D Breakout Convex OTM Debit Spread (W250, Off50)",7.6Y_SECONDARY
150000.0,0.02,313550.29,10.13,51187.4,16.33,9,0,Candidate B,"10D Breakout Convex OTM Debit Spread (W250, Off50)",7.6Y_SECONDARY
150000.0,0.03,347325.88,11.62,49987.04,14.39,9,0,Candidate B,"10D Breakout Convex OTM Debit Spread (W250, Off50)",7.6Y_SECONDARY
150000.0,0.05,993722.03,28.08,179917.06,18.11,9,0,Candidate B,"10D Breakout Convex OTM Debit Spread (W250, Off50)",7.6Y_SECONDARY
150000.0,0.08,1998929.49,40.35,556997.25,27.86,9,0,Candidate B,"10D Breakout Convex OTM Debit Spread (W250, Off50)",7.6Y_SECONDARY
150000.0,0.1,2297824.88,42.93,745053.11,32.42,9,0,Candidate B,"10D Breakout Convex OTM Debit Spread (W250, Off50)",7.6Y_SECONDARY
200000.0,0.01,344135.56,7.36,49987.04,14.53,9,0,Candidate B,"10D Breakout Convex OTM Debit Spread (W250, Off50)",7.6Y_SECONDARY
200000.0,0.02,417342.74,10.11,49987.04,11.98,9,0,Candidate B,"10D Breakout Convex OTM Debit Spread (W250, Off50)",7.6Y_SECONDARY
200000.0,0.03,552531.23,14.23,82001.1,14.84,9,0,Candidate B,"10D Breakout Convex OTM Debit Spread (W250, Off50)",7.6Y_SECONDARY
200000.0,0.05,1045180.71,24.17,252799.73,24.19,9,0,Candidate B,"10D Breakout Convex OTM Debit Spread (W250, Off50)",7.6Y_SECONDARY
200000.0,0.08,1943747.8,34.67,564063.99,29.02,9,0,Candidate B,"10D Breakout Convex OTM Debit Spread (W250, Off50)",7.6Y_SECONDARY
200000.0,0.1,2298001.9,37.65,745053.11,32.42,9,0,Candidate B,"10D Breakout Convex OTM Debit Spread (W250, Off50)",7.6Y_SECONDARY
50000.0,0.01,140567.2,22.97,46972.47,33.42,7,0,Candidate C,10D Breakout Squeeze Debit Spread (W150),5Y_PRIMARY
