category,filter_or_candidate,period,trades,win_rate_pct,net_pnl_inr,profit_factor
QUALITY_FILTER,ATR >= 0.50,VAL 2022-2023,34,44.1,21868.4,1.455
QUALITY_FILTER,ATR >= 0.50,OOS 2024,15,20.0,-11877.3,0.381
QUALITY_FILTER,ATR >= 0.50,OOS 2025,14,42.9,17101.77,1.687
QUALITY_FILTER,ATR >= 0.50,OOS 2026,3,66.7,12222.15,6.456
QUALITY_FILTER,ATR >= 0.50,FULL 7.6Y,101,36.6,35449.31,1.223
QUALITY_FILTER,ADX >= 20,DEV 2019-2021,54,22.2,-63250.05,0.47
QUALITY_FILTER,ADX >= 20,VAL 2022-2023,41,34.1,-6332.65,0.902
QUALITY_FILTER,ADX >= 20,OOS 2024,10,40.0,960.03,1.091
QUALITY_FILTER,ADX >= 20,OOS 2025,18,44.4,15236.87,1.43
QUALITY_FILTER,ADX >= 20,OOS 2026,10,50.0,1470.95,1.098
QUALITY_FILTER,ADX >= 20,FULL 7.6Y,133,32.3,-51914.85,0.788
QUALITY_FILTER,ADX >= 25,DEV 2019-2021,38,23.7,-39576.09,0.528
QUALITY_FILTER,ADX >= 25,VAL 2022-2023,20,30.0,-6961.23,0.797
QUALITY_FILTER,ADX >= 25,OOS 2024,7,42.9,2366.91,1.385
QUALITY_FILTER,ADX >= 25,OOS 2025,8,37.5,2860.81,1.173
QUALITY_FILTER,ADX >= 25,OOS 2026,4,100.0,10297.75,0.0
QUALITY_FILTER,ADX >= 25,FULL 7.6Y,77,32.5,-31011.85,0.78
QUALITY_FILTER,Vol >= 1.2x,DEV 2019-2021,11,27.3,-11210.6,0.514
QUALITY_FILTER,Vol >= 1.2x,VAL 2022-2023,14,35.7,2591.93,1.121
QUALITY_FILTER,Vol >= 1.2x,OOS 2024,12,33.3,1250.58,1.117
QUALITY_FILTER,Vol >= 1.2x,OOS 2025,6,33.3,4125.11,1.328
QUALITY_FILTER,Vol >= 1.2x,OOS 2026,6,83.3,22788.95,11.173
QUALITY_FILTER,Vol >= 1.2x,FULL 7.6Y,49,38.8,19545.97,1.279
QUALITY_FILTER,Vol >= 1.5x,DEV 2019-2021,4,25.0,-2061.27,0.767
QUALITY_FILTER,Vol >= 1.5x,VAL 2022-2023,6,16.7,-4393.28,0.568
QUALITY_FILTER,Vol >= 1.5x,OOS 2024,3,33.3,-1495.02,0.635
QUALITY_FILTER,Vol >= 1.5x,OOS 2025,1,0.0,-3264.59,0.0
QUALITY_FILTER,Vol >= 1.5x,OOS 2026,1,100.0,5305.64,0.0
QUALITY_FILTER,Vol >= 1.5x,FULL 7.6Y,15,26.7,-5908.52,0.776
ENTRY_TIMING,A: Next-Day 09:15 Open,DEV 2019-2021,79,26.6,-66807.06,0.593
ENTRY_TIMING,A: Next-Day 09:15 Open,VAL 2022-2023,61,41.0,24237.6,1.285
ENTRY_TIMING,A: Next-Day 09:15 Open,OOS 2024,33,33.3,-10618.8,0.706
ENTRY_TIMING,A: Next-Day 09:15 Open,OOS 2025,32,37.5,4175.97,1.058
ENTRY_TIMING,A: Next-Day 09:15 Open,OOS 2026,23,56.5,41902.45,2.744
ENTRY_TIMING,A: Next-Day 09:15 Open,FULL 7.6Y,228,36.0,-7109.84,0.981
ENTRY_TIMING,B: Next-Day 09:20 Confirmation,DEV 2019-2021,79,26.6,-66807.06,0.593
ENTRY_TIMING,B: Next-Day 09:20 Confirmation,VAL 2022-2023,61,41.0,24237.6,1.285
ENTRY_TIMING,B: Next-Day 09:20 Confirmation,OOS 2024,33,33.3,-10618.8,0.706
ENTRY_TIMING,B: Next-Day 09:20 Confirmation,OOS 2025,32,37.5,4175.97,1.058
ENTRY_TIMING,B: Next-Day 09:20 Confirmation,OOS 2026,23,56.5,41902.45,2.744
ENTRY_TIMING,B: Next-Day 09:20 Confirmation,FULL 7.6Y,228,36.0,-7109.84,0.981
ENTRY_TIMING,C: Next-Day 09:30 Confirmation,DEV 2019-2021,79,26.6,-66807.06,0.593
ENTRY_TIMING,C: Next-Day 09:30 Confirmation,VAL 2022-2023,61,41.0,24237.6,1.285
ENTRY_TIMING,C: Next-Day 09:30 Confirmation,OOS 2024,33,33.3,-10618.8,0.706
ENTRY_TIMING,C: Next-Day 09:30 Confirmation,OOS 2025,32,37.5,4175.97,1.058
ENTRY_TIMING,C: Next-Day 09:30 Confirmation,OOS 2026,23,56.5,41902.45,2.744
ENTRY_TIMING,C: Next-Day 09:30 Confirmation,FULL 7.6Y,228,36.0,-7109.84,0.981
ENTRY_TIMING,D: First Intraday Continuation,DEV 2019-2021,79,26.6,-66807.06,0.593
ENTRY_TIMING,D: First Intraday Continuation,VAL 2022-2023,61,41.0,24237.6,1.285
ENTRY_TIMING,D: First Intraday Continuation,OOS 2024,33,33.3,-10618.8,0.706
ENTRY_TIMING,D: First Intraday Continuation,OOS 2025,32,37.5,4175.97,1.058
ENTRY_TIMING,D: First Intraday Continuation,OOS 2026,23,56.5,41902.45,2.744
ENTRY_TIMING,D: First Intraday Continuation,FULL 7.6Y,228,36.0,-7109.84,0.981
EXIT_STRUCTURE,Expiry Settle,DEV 2019-2021,79,26.6,-66807.06,0.593
EXIT_STRUCTURE,Expiry Settle,VAL 2022-2023,61,41.0,24237.6,1.285
EXIT_STRUCTURE,Expiry Settle,OOS 2024,33,33.3,-10618.8,0.706
EXIT_STRUCTURE,Expiry Settle,OOS 2025,32,37.5,4175.97,1.058
EXIT_STRUCTURE,Expiry Settle,OOS 2026,23,56.5,41902.45,2.744
EXIT_STRUCTURE,Expiry Settle,FULL 7.6Y,228,36.0,-7109.84,0.981
EXIT_STRUCTURE,Target 1.5R,DEV 2019-2021,79,32.9,-48841.04,0.681
EXIT_STRUCTURE,Target 1.5R,VAL 2022-2023,61,45.9,23553.41,1.288
EXIT_STRUCTURE,Target 1.5R,OOS 2024,33,33.3,-12427.27,0.656
EXIT_STRUCTURE,Target 1.5R,OOS 2025,32,37.5,-7039.35,0.902
EXIT_STRUCTURE,Target 1.5R,OOS 2026,23,60.9,38954.35,2.629
EXIT_STRUCTURE,Target 1.5R,FULL 7.6Y,228,39.9,-5799.9,0.984
EXIT_STRUCTURE,Target 2.0R,DEV 2019-2021,79,27.8,-74216.24,0.546
EXIT_STRUCTURE,Target 2.0R,VAL 2022-2023,61,42.6,15988.27,1.189
EXIT_STRUCTURE,Target 2.0R,OOS 2024,33,33.3,-11931.06,0.67
EXIT_STRUCTURE,Target 2.0R,OOS 2025,32,37.5,-3607.31,0.95
EXIT_STRUCTURE,Target 2.0R,OOS 2026,23,56.5,37765.23,2.571
EXIT_STRUCTURE,Target 2.0R,FULL 7.6Y,228,36.8,-36001.11,0.905
EXIT_STRUCTURE,Target 2.5R,DEV 2019-2021,79,27.8,-64871.23,0.603
EXIT_STRUCTURE,Target 2.5R,VAL 2022-2023,61,42.6,18906.58,1.223
EXIT_STRUCTURE,Target 2.5R,OOS 2024,33,33.3,-11931.06,0.67
EXIT_STRUCTURE,Target 2.5R,OOS 2025,32,37.5,-1081.79,0.985
EXIT_STRUCTURE,Target 2.5R,OOS 2026,23,56.5,39242.13,2.633
EXIT_STRUCTURE,Target 2.5R,FULL 7.6Y,228,36.8,-19735.37,0.948
EXIT_STRUCTURE,Target 3.0R,DEV 2019-2021,79,26.6,-67046.66,0.592
EXIT_STRUCTURE,Target 3.0R,VAL 2022-2023,61,42.6,19249.22,1.227
EXIT_STRUCTURE,Target 3.0R,OOS 2024,33,33.3,-10618.8,0.706
EXIT_STRUCTURE,Target 3.0R,OOS 2025,32,37.5,4175.97,1.058
EXIT_STRUCTURE,Target 3.0R,OOS 2026,23,56.5,46152.9,2.92
EXIT_STRUCTURE,Target 3.0R,FULL 7.6Y,228,36.4,-8087.37,0.979
EXIT_STRUCTURE,Time Stop 2S,DEV 2019-2021,79,40.5,-14429.46,0.847
EXIT_STRUCTURE,Time Stop 2S,VAL 2022-2023,61,47.5,14090.46,1.35
EXIT_STRUCTURE,Time Stop 2S,OOS 2024,33,33.3,-13144.47,0.437
EXIT_STRUCTURE,Time Stop 2S,OOS 2025,32,50.0,25261.56,1.878
EXIT_STRUCTURE,Time Stop 2S,OOS 2026,23,52.2,18398.68,1.936
EXIT_STRUCTURE,Time Stop 2S,FULL 7.6Y,228,43.9,30176.77,1.146
EXIT_STRUCTURE,Time Stop 3S,DEV 2019-2021,79,31.6,-30713.3,0.751
EXIT_STRUCTURE,Time Stop 3S,VAL 2022-2023,61,44.3,10658.72,1.19
EXIT_STRUCTURE,Time Stop 3S,OOS 2024,33,33.3,-15988.44,0.41
EXIT_STRUCTURE,Time Stop 3S,OOS 2025,32,40.6,14708.04,1.312
EXIT_STRUCTURE,Time Stop 3S,OOS 2026,23,52.2,19236.62,1.773
EXIT_STRUCTURE,Time Stop 3S,FULL 7.6Y,228,38.6,-2098.36,0.992
COMBINATION,Filter D alone,DEV 2019-2021,12,41.7,8118.93,1.416
COMBINATION,Filter D alone,VAL 2022-2023,17,47.1,15493.78,1.738
COMBINATION,Filter D alone,OOS 2024,11,27.3,-6410.15,0.572
COMBINATION,Filter D alone,OOS 2025,10,40.0,754.92,1.036
COMBINATION,Filter D alone,OOS 2026,10,50.0,16489.51,2.168
COMBINATION,Filter D alone,FULL 7.6Y,60,41.7,34446.99,1.379
COMBINATION,Filter D + ATR_0.25,DEV 2019-2021,9,55.6,14430.64,2.093
COMBINATION,Filter D + ATR_0.25,VAL 2022-2023,14,50.0,14405.44,1.786
COMBINATION,Filter D + ATR_0.25,OOS 2024,8,25.0,-7324.11,0.411
COMBINATION,Filter D + ATR_0.25,OOS 2025,9,44.4,5254.32,1.313
COMBINATION,Filter D + ATR_0.25,OOS 2026,5,60.0,11828.55,3.507
COMBINATION,Filter D + ATR_0.25,FULL 7.6Y,45,46.7,38594.84,1.59
COMBINATION,Filter D + ATR_0.50,DEV 2019-2021,5,60.0,14711.65,3.286
COMBINATION,Filter D + ATR_0.50,VAL 2022-2023,11,45.5,7775.76,1.489
COMBINATION,Filter D + ATR_0.50,OOS 2024,6,33.3,-3307.42,0.607
COMBINATION,Filter D + ATR_0.50,OOS 2025,5,40.0,6496.12,1.758
COMBINATION,Filter D + ATR_0.50,OOS 2026,3,66.7,12222.15,6.456
COMBINATION,Filter D + ATR_0.50,FULL 7.6Y,30,46.7,37898.26,1.911
COMBINATION,Filter A + ATR_0.25,DEV 2019-2021,12,50.0,9472.68,1.484
COMBINATION,Filter A + ATR_0.25,VAL 2022-2023,23,52.2,20035.64,1.688
COMBINATION,Filter A + ATR_0.25,OOS 2024,13,15.4,-14737.22,0.258
