candidate_id,test_category,test_name,trades,net_pnl_inr,profit_factor
Candidate C,LOSS_STREAK_SIMULATION,5_Consecutive_Losses_on_75k,5,-15264.61,20.35
Candidate C,LOSS_STREAK_SIMULATION,5_Consecutive_Losses_on_100k,5,-15264.61,15.26
Candidate C,LOSS_STREAK_SIMULATION,10_Consecutive_Losses_on_50k,10,-30529.22,61.06
Candidate C,LOSS_STREAK_SIMULATION,10_Consecutive_Losses_on_75k,10,-30529.22,40.71
Candidate C,LOSS_STREAK_SIMULATION,10_Consecutive_Losses_on_100k,10,-30529.22,30.53
Candidate C,LOSS_STREAK_SIMULATION,15_Consecutive_Losses_on_50k,15,-45793.82,91.59
Candidate C,LOSS_STREAK_SIMULATION,15_Consecutive_Losses_on_75k,15,-45793.82,61.06
Candidate C,LOSS_STREAK_SIMULATION,15_Consecutive_Losses_on_100k,15,-45793.82,45.79
Candidate C,LOSS_STREAK_SIMULATION,20_Consecutive_Losses_on_50k,20,-61058.43,122.12
Candidate C,LOSS_STREAK_SIMULATION,20_Consecutive_Losses_on_75k,20,-61058.43,81.41
Candidate C,LOSS_STREAK_SIMULATION,20_Consecutive_Losses_on_100k,20,-61058.43,61.06
