start_capital,risk_pct,ending_capital,cagr_pct,max_dd_inr,max_dd_pct,max_losing_streak,skipped_trades,candidate_id,candidate_name,period
50000.0,0.05,672.47,-43.11,49327.53,98.66,13,159,Candidate 2,"Causal 10D Breakout ATM Debit Spread (W200, Off0)",7.6Y_SECONDARY
75000.0,0.01,-14.8,-100.0,75014.8,100.02,12,175,Candidate 2,"Causal 10D Breakout ATM Debit Spread (W200, Off0)",7.6Y_SECONDARY
75000.0,0.02,-14.8,-100.0,75014.8,100.02,12,175,Candidate 2,"Causal 10D Breakout ATM Debit Spread (W200, Off0)",7.6Y_SECONDARY
75000.0,0.03,-14.8,-100.0,75014.8,100.02,12,175,Candidate 2,"Causal 10D Breakout ATM Debit Spread (W200, Off0)",7.6Y_SECONDARY
75000.0,0.05,-14.8,-100.0,75014.8,100.02,12,175,Candidate 2,"Causal 10D Breakout ATM Debit Spread (W200, Off0)",7.6Y_SECONDARY
100000.0,0.01,2180.86,-39.39,99525.3,99.53,12,124,Candidate 2,"Causal 10D Breakout ATM Debit Spread (W200, Off0)",7.6Y_SECONDARY
100000.0,0.02,456.28,-50.61,99543.72,99.54,12,124,Candidate 2,"Causal 10D Breakout ATM Debit Spread (W200, Off0)",7.6Y_SECONDARY
100000.0,0.03,456.28,-50.61,99543.72,99.54,12,124,Candidate 2,"Causal 10D Breakout ATM Debit Spread (W200, Off0)",7.6Y_SECONDARY
100000.0,0.05,291.85,-53.42,99708.15,99.71,12,125,Candidate 2,"Causal 10D Breakout ATM Debit Spread (W200, Off0)",7.6Y_SECONDARY
50000.0,0.01,114921.46,18.11,75360.13,56.99,7,0,Candidate 3,"Causal 10D Breakout ATM Debit Spread (W250, Off0)",5Y_PRIMARY
50000.0,0.02,113592.34,17.84,75360.13,57.57,7,0,Candidate 3,"Causal 10D Breakout ATM Debit Spread (W250, Off0)",5Y_PRIMARY
50000.0,0.03,126314.46,20.36,75360.13,52.47,7,0,Candidate 3,"Causal 10D Breakout ATM Debit Spread (W250, Off0)",5Y_PRIMARY
50000.0,0.05,175184.9,28.5,64164.85,36.63,7,0,Candidate 3,"Causal 10D Breakout ATM Debit Spread (W250, Off0)",5Y_PRIMARY
75000.0,0.01,139478.42,13.21,75360.13,48.07,7,0,Candidate 3,"Causal 10D Breakout ATM Debit Spread (W250, Off0)",5Y_PRIMARY
75000.0,0.02,149837.29,14.84,75360.13,45.09,7,0,Candidate 3,"Causal 10D Breakout ATM Debit Spread (W250, Off0)",5Y_PRIMARY
75000.0,0.03,167441.4,17.42,75360.13,40.79,7,0,Candidate 3,"Causal 10D Breakout ATM Debit Spread (W250, Off0)",5Y_PRIMARY
75000.0,0.05,227377.7,24.84,68004.33,29.91,7,0,Candidate 3,"Causal 10D Breakout ATM Debit Spread (W250, Off0)",5Y_PRIMARY
100000.0,0.01,163887.7,10.38,75360.13,41.59,7,0,Candidate 3,"Causal 10D Breakout ATM Debit Spread (W250, Off0)",5Y_PRIMARY
100000.0,0.02,175871.42,11.95,75360.13,39.01,7,0,Candidate 3,"Causal 10D Breakout ATM Debit Spread (W250, Off0)",5Y_PRIMARY
100000.0,0.03,193750.76,14.14,75360.13,35.71,7,0,Candidate 3,"Causal 10D Breakout ATM Debit Spread (W250, Off0)",5Y_PRIMARY
100000.0,0.05,410009.68,32.6,94052.17,22.94,7,0,Candidate 3,"Causal 10D Breakout ATM Debit Spread (W250, Off0)",5Y_PRIMARY
50000.0,0.01,1582.17,-36.36,56327.22,97.27,9,155,Candidate 3,"Causal 10D Breakout ATM Debit Spread (W250, Off0)",7.6Y_SECONDARY
50000.0,0.02,1154.5,-38.94,48845.5,97.69,9,196,Candidate 3,"Causal 10D Breakout ATM Debit Spread (W250, Off0)",7.6Y_SECONDARY
50000.0,0.03,1367.46,-37.57,48833.45,97.67,9,202,Candidate 3,"Causal 10D Breakout ATM Debit Spread (W250, Off0)",7.6Y_SECONDARY
50000.0,0.05,646.42,-43.4,49353.58,98.71,9,205,Candidate 3,"Causal 10D Breakout ATM Debit Spread (W250, Off0)",7.6Y_SECONDARY
75000.0,0.01,83674.76,1.44,75360.13,74.63,12,38,Candidate 3,"Causal 10D Breakout ATM Debit Spread (W250, Off0)",7.6Y_SECONDARY
75000.0,0.02,83084.04,1.35,75360.13,75.07,12,38,Candidate 3,"Causal 10D Breakout ATM Debit Spread (W250, Off0)",7.6Y_SECONDARY
75000.0,0.03,82345.64,1.23,75360.13,75.62,12,38,Candidate 3,"Causal 10D Breakout ATM Debit Spread (W250, Off0)",7.6Y_SECONDARY
75000.0,0.05,81981.5,1.17,75360.13,75.9,12,38,Candidate 3,"Causal 10D Breakout ATM Debit Spread (W250, Off0)",7.6Y_SECONDARY
100000.0,0.01,193.35,-55.86,99806.65,99.81,12,173,Candidate 3,"Causal 10D Breakout ATM Debit Spread (W250, Off0)",7.6Y_SECONDARY
100000.0,0.02,193.35,-55.86,99806.65,99.81,12,173,Candidate 3,"Causal 10D Breakout ATM Debit Spread (W250, Off0)",7.6Y_SECONDARY
100000.0,0.03,193.35,-55.86,99806.65,99.81,12,173,Candidate 3,"Causal 10D Breakout ATM Debit Spread (W250, Off0)",7.6Y_SECONDARY
100000.0,0.05,193.35,-55.86,99806.65,99.81,12,173,Candidate 3,"Causal 10D Breakout ATM Debit Spread (W250, Off0)",7.6Y_SECONDARY
