Date,Strategy,Instrument,Assigned_Capital,Position,Gross_PnL,Friction_Taxes,Net_PnL,Win,Exit_Reason,Details
2026-08-25,Strategy 4: Golden Trend Runner,NIFTY 25 Qty Option Buyer,50000.0,Buy PE,-943.99,63.01,-1007.0,False,STOP_LOSS,Entry 24144.3 | Stop 68.7 | Target 206.0
2026-08-26,Strategy 2: Zen Curvature Spread,NIFTY Put Credit Spread,100000.0,Sell Bull Put Spread,743.75,140.0,603.75,True,OTM_EXPIRY,Spot 24208 | Short Put 23962 vs Low 24077
2026-08-27,Strategy 4: Golden Trend Runner,NIFTY 25 Qty Option Buyer,50000.0,Buy PE,-1011.46,62.91,-1074.37,False,STOP_LOSS,Entry 24207.8 | Stop 73.6 | Target 220.7
2026-08-28,Strategy 2: Zen Curvature Spread,NIFTY Put Credit Spread,100000.0,Sell Bull Put Spread,743.75,140.0,603.75,True,OTM_EXPIRY,Spot 24176 | Short Put 23927 vs Low 23953
2026-08-28,Strategy 4: Golden Trend Runner,NIFTY 25 Qty Option Buyer,50000.0,Buy PE,-1057.3,62.84,-1120.14,False,STOP_LOSS,Entry 24090.8 | Stop 76.9 | Target 230.7
2026-08-31,Strategy 1: Apex VRP Engine,NIFTY Weekly Iron Condor,100000.0,Sell OTM Condor,1062.5,140.0,922.5,True,EXPIRED_OTM,Spot 24080 | Put 23513 / Call 24648 (Range 23787-24143)
2026-08-31,Strategy 4: Golden Trend Runner,NIFTY 25 Qty Option Buyer,50000.0,Buy PE,-48.82,64.26,-113.08,False,EOD_CLOSE,Entry 24076.8 | Stop 77.0 | Target 230.9
2026-09-01,Strategy 2: Zen Curvature Spread,NIFTY Put Credit Spread,100000.0,Sell Bull Put Spread,-1312.5,140.0,-1452.5,False,BREACH_STOP,Spot 24056 | Short Put 23790 vs Low 23787
2026-09-01,Strategy 4: Golden Trend Runner,NIFTY 25 Qty Option Buyer,50000.0,Buy PE,-1071.59,62.82,-1134.41,False,STOP_LOSS,Entry 23993.6 | Stop 77.9 | Target 233.8
2026-09-02,Strategy 4: Golden Trend Runner,NIFTY 25 Qty Option Buyer,50000.0,Buy PE,523.9,65.08,458.82,True,EOD_CLOSE,Entry 23952.6 | Stop 77.3 | Target 232.0
2026-09-03,Strategy 2: Zen Curvature Spread,NIFTY Put Credit Spread,100000.0,Sell Bull Put Spread,743.75,140.0,603.75,True,OTM_EXPIRY,Spot 23873 | Short Put 23613 vs Low 23738
2026-09-07,Strategy 1: Apex VRP Engine,NIFTY Weekly Iron Condor,100000.0,Sell OTM Condor,1062.5,140.0,922.5,True,EXPIRED_OTM,Spot 23779 | Put 23220 / Call 24338 (Range 23231-23890)
2026-09-07,Strategy 2: Zen Curvature Spread,NIFTY Put Credit Spread,100000.0,Sell Bull Put Spread,-1312.5,140.0,-1452.5,False,BREACH_STOP,Spot 23779 | Short Put 23524 vs Low 23432
2026-09-07,Strategy 4: Golden Trend Runner,NIFTY 25 Qty Option Buyer,50000.0,Buy PE,1604.61,66.61,1538.0,True,EOD_CLOSE,Entry 23895.8 | Stop 83.8 | Target 251.4
2026-09-07,Strategy 6: Micro Momentum Sniper,NIFTY 25 Qty Option Buyer,10000.0,Buy PE,1604.61,66.61,1538.0,True,EOD_CLOSE,Entry 23895.8 | Stop 41.5 | Target 124.5
