date,symbol,option_type,spot_entry,spot_exit,option_entry_prem,option_exit_prem,pnl,return_pct,win,exit_reason,capital_after
2026-01-02,NIFTY,CE,26223.748332031246,26304.673276227673,100.0,144.50871930803572,1067.717982700893,44.508719308035715,True,TARGET,1225514.034745917
2026-01-02,BANKNIFTY,CE,59802.94241796874,59990.58513560267,100.0,203.20349469866073,1503.052420479911,103.20349469866072,True,TARGET,1227017.087166397
2026-01-05,NIFTY,CE,26366.339999999997,26325.50702706473,100.0,77.54186488560268,-606.4533778599331,-22.458135114397322,False,STOP,1226410.633788537
2026-01-05,BANKNIFTY,CE,60263.95374999999,60044.19921875,100.0,47.44703194754464,-833.2945207868304,-52.55296805245536,False,EOD,1225577.3392677503
2026-01-09,NIFTY,PE,25832.59076953125,25745.112323660713,100.0,148.11314522879465,1157.8286307198662,48.11314522879464,True,TARGET,1226735.16789847
2026-01-12,NIFTY,PE,25597.377,25505.418155133928,100.0,150.5773646763393,1219.4341169084823,50.5773646763393,True,TARGET,1227954.6020153787
2026-01-19,NIFTY,PE,25636.737990234375,25532.443417131697,100.0,157.36201520647322,1389.0503801618304,57.36201520647322,True,TARGET,1229343.6523955404
2026-01-20,NIFTY,PE,25468.855259765623,25353.296386997765,100.0,163.55738002232144,1543.9345005580358,63.55738002232143,True,TARGET,1230887.5868960985
2026-01-21,NIFTY,PE,25146.178259765624,25025.903357421874,100.0,166.1511962890625,1608.7799072265627,66.15119628906251,True,TARGET,1232496.366803325
2026-01-21,BANKNIFTY,PE,59224.66526953125,58941.970654575896,100.0,255.48203822544644,2287.2305733816966,155.48203822544644,True,TARGET,1234783.5973767068
2026-01-23,NIFTY,PE,25143.3315,25048.650390625,100.0,152.07461015625012,1256.8652539062532,52.07461015625013,True,EOD,1236040.462630613
2026-01-23,BANKNIFTY,PE,58764.22773046875,58440.07064341518,100.0,278.2863978794643,2629.2959681919647,178.28639787946432,True,TARGET,1238669.758598805
2026-01-27,NIFTY,PE,25000.27548046875,25068.37899609375,100.0,62.54306640625,-981.42333984375,-37.45693359375,False,STOP,1237688.3352589612
2026-01-27,BANKNIFTY,PE,58287.90375,58463.15458705357,100.0,3.612039620535711,-1490.8194056919642,-96.38796037946429,False,STOP,1236197.5158532693
2026-01-29,NIFTY,PE,25162.462740234376,25234.61267745536,100.0,60.317534528459824,-1037.0616367885045,-39.682465471540176,False,STOP,1235160.4542164807
2026-02-02,NIFTY,PE,25188.436740234374,25035.32973688616,100.0,184.20885184151786,2060.2212960379466,84.20885184151786,True,TARGET,1237220.6755125187
2026-02-09,NIFTY,CE,25729.653167968747,25915.236943080356,100.0,202.07107631138393,2506.7769077845983,102.07107631138392,True,TARGET,1239727.4524203034
