datetime,engine,pnl,win,pnl_1lot,parsed_date,month
2026-01-07,options_condor,-1457243.8375000001,False,-5390.0,2026-01-07,2026-01
2026-01-14,options_condor,-1407712.8590820313,False,-5390.0,2026-01-14,2026-01
2026-01-22,options_condor,721764.1781542968,True,2835.0,2026-01-22,2026-01
2026-01-30,options_condor,-1389240.8284179687,False,-5390.0,2026-01-30,2026-01
2026-02-06,options_condor,711859.8896386718,True,2835.0,2026-02-06,2026-02
2026-02-13,options_condor,720955.1264453125,True,2835.0,2026-02-13,2026-02
2026-02-20,options_condor,736398.9125,True,2835.0,2026-02-20,2026-02
2026-02-27,options_condor,-1410662.7101074217,False,-5390.0,2026-02-27,2026-02
2026-04-17,options_condor,720513.8870800782,True,2835.0,2026-04-17,2026-04
2026-04-24,options_condor,732561.1083984375,True,2835.0,2026-04-24,2026-04
2026-05-04,options_condor,745543.5558007812,True,2835.0,2026-05-04,2026-05
2026-05-11,options_condor,758888.456201172,True,2835.0,2026-05-11,2026-05
2026-05-18,options_condor,770598.7648046876,True,2835.0,2026-05-18,2026-05
2026-05-25,options_condor,783643.1623046874,True,2835.0,2026-05-25,2026-05
2026-06-02,options_condor,796308.6101660157,True,2835.0,2026-06-02,2026-06
2026-06-09,options_condor,-1541038.5822753906,False,-5390.0,2026-06-09,2026-06
2026-06-16,options_condor,785107.8855224609,True,2835.0,2026-06-16,2026-06
2026-06-23,options_condor,799730.0652539063,True,2835.0,2026-06-23,2026-06
2026-07-01,options_condor,811967.339404297,True,2835.0,2026-07-01,2026-07
2026-07-08,options_condor,825009.0587890624,True,2835.0,2026-07-08,2026-07
2026-07-15,options_condor,840912.51125,True,2835.0,2026-07-15,2026-07
2026-07-22,options_condor,855419.9093749999,True,2835.0,2026-07-22,2026-07
2026-07-29,options_condor,870810.6181152344,True,2835.0,2026-07-29,2026-07
2026-08-05,options_condor,884894.6628173828,True,2835.0,2026-08-05,2026-08
2026-08-12,options_condor,898626.2246679688,True,2835.0,2026-08-12,2026-08
2026-08-19,options_condor,914154.8050781251,True,2835.0,2026-08-19,2026-08
2026-08-26,options_condor,931090.2474999999,True,2835.0,2026-08-26,2026-08
2026-09-02,options_condor,945454.989501953,True,2835.0,2026-09-02,2026-09
