datetime,side,short_k,long_k,win,pnl,lots
2026-01-02,curvature_condor,26623.228502391936,26033.873060108064,True,97206.70673828125,25
2026-01-06,curvature_condor,26489.372820888977,25868.025616611023,False,-180206.2197265625,25
2026-01-08,curvature_condor,26201.7167836825,25551.9824350675,False,-178168.73486328125,25
2026-01-12,curvature_condor,26137.549821905213,25442.950178094787,True,95147.70625,25
2026-01-14,curvature_condor,26009.700960796603,25321.498257953397,True,94670.91850585937,25
2026-01-19,curvature_condor,25943.981871829223,25227.018128170777,False,-176202.12499999997,25
2026-01-21,curvature_condor,25568.087041740968,24746.912958259032,True,92727.43749999999,25
2026-01-23,curvature_condor,25469.62437914559,24627.67640210441,True,92311.0877441406,25
2026-01-28,curvature_condor,25748.85662620915,24936.64337379085,True,93436.01874999999,25
2026-01-30,curvature_condor,25729.401801387732,24911.898979862268,False,-174414.39013671875,25
2026-02-03,curvature_condor,26120.626927736168,25334.474634763832,True,94907.88173828126,25
2026-02-05,curvature_condor,26012.41152573522,25273.19003676478,True,94583.71298828126,25
2026-02-09,curvature_condor,26240.760144115593,25493.841418384407,True,95442.42548828124,25
2026-02-11,curvature_condor,26308.88555335641,25598.81366539359,False,-178688.48486328128,25
2026-02-13,curvature_condor,25872.022840888945,25070.176377861055,True,93926.95600585936,25
2026-02-17,curvature_condor,26111.435947679398,25339.364833570602,True,94899.65649414062,25
2026-02-19,curvature_condor,25860.134258986385,25048.564959763615,True,93862.88725585937,25
2026-02-23,curvature_condor,26144.530156378,25281.469843622,True,94852.225,25
2026-02-25,curvature_condor,25889.63882923109,25075.36117076891,True,93970.56249999999,25
2026-02-27,curvature_condor,25587.196949636644,24770.103831613356,False,-173455.89013671875,25
2026-03-04,curvature_condor,25093.43412665769,23867.56587334231,True,90137.91249999999,25
2026-03-06,curvature_condor,25026.143284331036,23874.755153168964,False,-168540.53222656247,25
2026-03-10,curvature_condor,24804.974423783144,23718.224794966856,False,-167265.79736328125,25
2026-03-12,curvature_condor,24241.658210726906,23036.642570523094,False,-163064.26513671878,25
2026-03-16,curvature_condor,24007.655495477848,22809.946067022152,True,86038.66298828126,25
2026-03-18,curvature_condor,24304.98944237057,23250.61212012943,False,-164000.1552734375,25
2026-04-08,curvature_condor,24557.259410595707,23437.439808154293,True,88289.86225585936,25
2026-04-10,curvature_condor,24587.539685330834,23513.659533419166,True,88493.54350585936,25
2026-04-15,curvature_condor,24767.10927824034,23695.49228425966,True,89184.72548828126,25
2026-04-17,curvature_condor,24849.95068244666,23857.15088005334,True,89652.33173828125,25
2026-04-21,curvature_condor,25086.860491581054,24066.338727168946,True,90505.49350585937,25
2026-04-23,curvature_condor,24705.28084910591,23640.82071339409,True,88961.91923828126,25
2026-04-27,curvature_condor,24617.167821430976,23568.230616069024,True,88654.57451171873,25
2026-04-29,curvature_condor,24677.051077723874,23678.249703526126,True,88979.51274414062,25
2026-05-04,curvature_condor,24642.06316944605,23596.53839305395,True,88756.32548828126,25
2026-05-06,curvature_condor,24811.61549710871,23850.28294039129,True,89565.88076171873,25
2026-05-08,curvature_condor,24658.339933761516,23693.960847488484,False,-166689.01513671875,25
2026-05-12,curvature_condor,23913.416157395528,22845.685405104472,True,85926.78173828124,25
2026-05-14,curvature_condor,24211.7464519599,23167.4527667901,True,87112.71850585938,25
2026-05-18,curvature_condor,24199.792650965275,23100.105786534725,True,86961.05576171874,25
2026-05-20,curvature_condor,24175.708804516875,23142.291195483125,True,86995.67499999999,25
2026-05-22,curvature_condor,24222.437499559528,23216.164062940472,True,87226.32548828123,25
2026-05-26,curvature_condor,24370.54503867753,23456.85339882247,True,87969.89951171874,25
2026-05-29,curvature_condor,23999.27814650446,23096.22185349554,True,86570.14375,25
2026-06-02,curvature_condor,23910.762855269128,23056.338707230872,True,86324.58173828124,25
2026-06-04,curvature_condor,23857.24299711367,22975.85856538633,True,86068.30673828124,25
2026-06-08,curvature_condor,23589.388027133242,22656.611972866758,True,84945.475,25
2026-06-10,curvature_condor,23644.698607326893,22785.199830173107,False,-160200.90722656247,25
2026-06-12,curvature_condor,24034.741395449088,23211.059385800912,True,86857.59399414062,25
2026-06-16,curvature_condor,24368.736107487493,23609.564673762507,True,88258.50024414061,25
2026-06-18,curvature_condor,24530.66519475789,23805.33480524211,True,88942.59999999999,25
2026-06-22,curvature_condor,24469.441663033595,23736.359118216405,True,88693.59399414061,25
2026-06-24,curvature_condor,24402.60389974792,23640.69688150208,True,88382.81274414062,25
2026-06-29,curvature_condor,24332.24721814603,23560.25278185397,True,88094.40625,25
2026-07-01,curvature_condor,24382.287738974755,23629.411479775245,True,88322.37475585938,25
2026-07-03,curvature_condor,24610.049373678194,23931.649845071806,True,89335.99975585938,25
2026-07-07,curvature_condor,24735.351167345045,24062.047270154955,False,-168191.2197265625,25
2026-07-09,curvature_condor,24341.969562322738,23583.632000177262,True,88157.71298828126,25
2026-07-13,curvature_condor,24591.802106627485,23830.197893372515,True,89107.07499999998,25
2026-07-15,curvature_condor,24456.93292508268,23700.06707491732,True,88600.2625,25
2026-07-17,curvature_condor,24713.295501848705,23955.306060651295,True,89578.70048828125,25
2026-07-21,curvature_condor,24548.65472059625,23826.74371690375,False,-166766.96972656253,25
2026-07-23,curvature_condor,24250.686105634297,23488.513113115703,True,87801.21850585936,25
2026-07-27,curvature_condor,24355.748410073724,23636.150027426276,True,88284.50576171873,25
2026-07-29,curvature_condor,24595.141852228866,23905.256585271134,True,89257.01201171875,25
2026-07-31,curvature_condor,24723.219952830772,24043.979265919228,False,-168089.29736328125,25
