TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-08-27,2026-08-27,FO,NSE,IDO,47300,,NIFTY,,2026-09-15,2026-09-15,23550.0,PE,NIFTY2691523550PE,0.0,0.0,0.0,133.0,0.0,133.0,24090.85,125.87,0,0,0,0.0,0,F1,65,,,,,
2026-08-27,2026-08-27,FO,NSE,IDO,47288,,NIFTY,,2026-09-15,2026-09-15,23250.0,PE,NIFTY2691523250PE,0.0,0.0,0.0,82.5,0.0,82.5,24090.85,66.76,0,0,0,0.0,0,F1,65,,,,,
2026-08-27,2026-08-27,FO,NSE,IDO,47284,,NIFTY,,2026-09-15,2026-09-15,23150.0,PE,NIFTY2691523150PE,10.15,14.15,9.55,11.65,13.5,10.0,24090.85,11.65,23010,-325,182,273996706.75,83,F1,65,,,,,
2026-08-27,2026-08-27,FO,NSE,IDO,47266,,NIFTY,,2026-09-15,2026-09-15,22700.0,PE,NIFTY2691522700PE,7.0,7.95,5.15,6.3,7.2,6.0,24090.85,6.3,23205,-260,82,121022590.0,31,F1,65,,,,,
2026-08-27,2026-08-27,FO,NSE,IDO,42706,,NIFTY,,2026-09-08,2026-09-08,25350.0,PE,NIFTY2690825350PE,0.0,0.0,0.0,965.0,965.0,965.0,24090.85,1223.13,65,0,0,0.0,0,F1,65,,,,,
2026-08-27,2026-08-27,FO,NSE,IDO,42698,,NIFTY,,2026-09-08,2026-09-08,25200.0,PE,NIFTY2690825200PE,935.5,998.65,935.5,993.8,993.0,798.4,24090.85,993.8,975,455,16,27237723.5,13,F1,65,,,,,
2026-08-27,2026-08-27,FO,NSE,IDO,42695,,NIFTY,,2026-09-08,2026-09-08,25150.0,PE,NIFTY2690825150PE,0.0,0.0,0.0,731.9,0.0,731.9,24090.85,1035.85,0,0,0,0.0,0,F1,65,,,,,
2026-08-27,2026-08-27,FO,NSE,IDO,42684,,NIFTY,,2026-09-08,2026-09-08,25000.0,PE,NIFTY2690825000PE,694.0,802.1,680.05,781.75,801.75,634.15,24090.85,781.75,44330,7085,294,491914800.0,229,F1,65,,,,,
2026-08-27,2026-08-27,FO,NSE,IDO,42614,,NIFTY,,2026-09-08,2026-09-08,23500.0,PE,NIFTY2690823500PE,10.05,17.55,9.2,16.15,16.55,10.05,24090.85,16.15,1285375,236080,34579,52849165495.75,18867,F1,65,,,,,
2026-08-27,2026-08-27,FO,NSE,IDO,42598,,NIFTY,,2026-09-08,2026-09-08,23150.0,PE,NIFTY2690823150PE,5.6,7.65,4.95,7.05,7.4,5.6,24090.85,7.05,26195,910,724,1089731357.0,443,F1,65,,,,,
